ACB India Ltd,['124) 2719000'],," - 7th floor, Corporate Tower				  				  Ambience Mall, NH-8","
Industry
Mineral , Metal , Mining"
Ahluwalia Contracts India Ltd,"['(011) 49410517', '49410500']",www.acilnet.com," - A-177, Okhla Industrial Area				  				  Phase-I","
Industry
Construction, Infrastructure"
Akzo Nobel India Ltd,['124) 4852400'],akzonobel.co.in," - 9th Floor, Magnum Towers, Golf Course				  				  Extension Road, Sector-58","
Industry
Chemical"
Akzo Nobel India Ltd,['124) 4852400'],akzonobel.co.in," - 9th Floor, Magnum Towers, Golf Course				  				  Extension Road, Sector-58","
Industry
Chemical"
Apl Apollo Tubes Ltd,['120) 4041400'],www.aplapollo.com," - 36, Kaushambi,  Near Anand Vihar Terminal				  ","
Industry
Iron & Steel"
Apollo Tyres Ltd,['124) 2721000'],www.apollotyres.com," - Apollo House,7 Institutional Area, Sector-32				  ","
Industry
Automobile , Auto Ancillaries & Dealers"
Asahi India Glass Ltd,['124) 4062212'],www.aisglass.com," - Global Business Park,				  				  Tower-B, 5th Floor, Mehrauli","
Industry
Construction, Infrastructure"
Bata India Ltd,['124) 4120100'],www.bata.in," - Bata House, 418/02,				  				  Sector 17,Mehrauli","
Industry
Retail, Leather , Accessories"
Bharat Heavy Electricals Ltd (BHEL),['(011) 66337000'],www.bhel.com," - BHEL House, Siri Fort				  ","
Industry
Power , Energy, Engineering, Capital Goods , Machines"
Bharat Rasayan Ltd,"['(011) 41538383', '43661111']",www.bharatgroup.co.in," - Vikram Tower, 1501, Rajendra Place				  ","
Industry
Chemical"
Bharti Airtel Ltd,['124) 4222222'],www.airtel.in," - Airtel Centre,  Plot No 16				  				  Udhyog Vihar, Phase IV","
Industry
Telecommunication , Mobile"
Bharti Infratel Ltd.,['124) 4132600'],www.bharti-infratel.com," - 901, Park Centra, Sector 30				  				  NH-8","
Industry
Telecommunication , Mobile"
BirlaSoft Ltd,['120) 6629000'],www.birlasoft.com," - Assotech Business Cresterra, Tower 3, Plot no 22				  				  Sector 135, Noida Expressway","
Industry
Information Technology (IT)"
Chambal Fertilisers & Chemicals Ltd,"['(011) 41697900', '46581300']",www.chambalfertilisers.com," - Corporate One, First Floor,				  				  5 Commercial Centre, Jasola","
Industry
Chemical"
Coforge Ltd (NIIT Technologies),['120) 4592300'],www.coforgetech.com," - Sector Tech Zone, Plot No 2A				  				  Yamuna Expressway","
Industry
Information Technology (IT)"
Competent Automobiles Co Ltd,['(011) 45700000'],www.competent-maruti.com, - F 14 Middle Circle Connaught Place				  ,"
Industry
Automobile , Auto Ancillaries & Dealers"
Container Corporation Of India Ltd,['(011) 41222500'],www.concorindia.com," - Metro Station, NSIC, MDBP Building				  				  3rd Floor, Okhla Industrial Estate,","
Industry
Courier , Logistics , Supply Chain ,Packaging , Transport"
Cosmo Films Ltd,"['(011) 49494934', '49494949']",www.cosmofilms.com," - 1008, DLF Tower - A, Jasola District Centre				  ","
Industry
Courier , Logistics , Supply Chain ,Packaging , Transport"
Dabur India Ltd,['120) 4182100'],www.dabur.com, - Kaushambi				  ,"
Industry
Food , FMCG , Agriculture"
Dalmia Bharat Sugar & Industries Ltd,['(011) 23310121'],www.dalmiasugar.com," - 11th floor, Hansalaya Building				  				  Barakhamba Road","
Industry
Food , FMCG , Agriculture"
DCM Shriram Industries Ltd,['(011) 23759300'],www.dcmsr.com," - Kanchenjunga Building, 6th floor 18 Barakhamba Road				  ","
Industry
Chemical, Food , FMCG , Agriculture"
